Feed,Publish_DT,Title,Summary,Author,Link
Technology,2021-12-14 00:06:00,How vending machines are making life better for Kenyans,By thinking small vending machine firms are delivering more affordable products for Kenyan shoppers., ,https://www.bbc.co.uk/news/business-59517551?at_medium=RSS&at_campaign=KARANGA
Science and Environment,2021-12-14 15:05:00,"Arctic heat record is like Mediterranean, says UN",The highest temperature recorded in the region last year - 38C (100F) - is officially confirmed., ,https://www.bbc.co.uk/news/science-environment-59649066?at_medium=RSS&at_campaign=KARANGA
Business,2021-12-15 00:02:00,CEO Secrets: How a lockdown wine business went viral,Partner in Wine founder Lucy Hitchcock shares ideas on becoming a ‘biz-fluencer’ for CEO Secrets., ,https://www.bbc.co.uk/news/business-59656851?at_medium=RSS&at_campaign=KARANGA
Science and Environment,2021-12-15 00:12:00,Southern right whales: Tracking unexpected Southern Ocean migrations,New Zealand scientists have used satellite tags to follow whales around the Southern Ocean., ,https://www.bbc.co.uk/news/world-australia-59646562?at_medium=RSS&at_campaign=KARANGA
Science and Environment,2021-12-15 00:59:00,James Webb: A $10bn machine in search of the end of darkness,The biggest space telescope ever built is ready to show us the first stars to light up the cosmos., ,https://www.bbc.co.uk/news/science-environment-59476869?at_medium=RSS&at_campaign=KARANGA
Technology,2021-12-15 07:26:00,Console shortages: Why can't I buy the Xbox Series X or PlayStation 5?,"Chinese power cuts, the pandemic and other reasons you can't get your hands on gaming hardware.", ,https://www.bbc.co.uk/news/newsbeat-59476611?at_medium=RSS&at_campaign=KARANGA
Science and Environment,2021-12-15 16:28:00,Heartbreak over 'failed' bid to remove Gough Island's mice,A mouse has been spotted after attempts to eradicate the invasive rodents from a remote island., ,https://www.bbc.co.uk/news/science-environment-59673823?at_medium=RSS&at_campaign=KARANGA
Health,2021-12-15 17:01:00,"David Fuller: The sisters killed in a car crash, abused after death","A woman whose daughters were abused in a mortuary by David Fuller says ""there is no more joy"".", ,https://www.bbc.co.uk/news/uk-england-kent-59671657?at_medium=RSS&at_campaign=KARANGA
Top Stories,2021-12-16 00:06:00,Kelly Catlin: A family's search for answers on links between concussion and suicide,"Kelly Catlin was 23 when she took her own life. An Olympic cyclist, she suffered a bad crash in training. Her family believe it changed her.", ,https://www.bbc.co.uk/sport/cycling/59639369?at_medium=RSS&at_campaign=KARANGA
Business,2021-12-16 00:09:00,The apps ready to deal with our Christmas food leftovers,The amount of food that's still edible but ends up being binned soars over the holiday period., ,https://www.bbc.co.uk/news/business-59651333?at_medium=RSS&at_campaign=KARANGA
Education and Family,2021-12-16 00:18:00,"Warn children about porn earlier, teens say","Parents should also talk to children as young as eight about sexting, says panel of young people.", ,https://www.bbc.co.uk/news/education-59666170?at_medium=RSS&at_campaign=KARANGA
Health,2021-12-16 00:49:00,Omicron: What can we learn from South Africa's experience so far?,"We can learn some things from what's happening in South Africa, but there are also uncertainties.", ,https://www.bbc.co.uk/news/59667268?at_medium=RSS&at_campaign=KARANGA
Science and Environment,2021-12-16 16:05:00,Brazil wildfires killed an estimated 17 million animals,'Body count' study gives first estimate of animals killed in wildfires in Brazil's Pantanal wetland., ,https://www.bbc.co.uk/news/science-environment-59670396?at_medium=RSS&at_campaign=KARANGA
Education and Family,2021-12-16 16:08:00,School apology after bleak Christmas lunch photo goes viral,The festive lunch at Steyning Grammar School was compared to prison food on social media., ,https://www.bbc.co.uk/news/newsbeat-59681239?at_medium=RSS&at_campaign=KARANGA
Education and Family,2021-12-16 16:37:00,Omicron: Schools prepared if Covid forces online move next term,Some children are being asked to take laptops home with them before Christmas in case of closures., ,https://www.bbc.co.uk/news/education-59673271?at_medium=RSS&at_campaign=KARANGA
Technology,2021-12-17 00:00:00,Tech trends 2022: Starships and missing chips,"From giant rockets to new ways to heat your home, a look at the technology that will emerge in 2022.", ,https://www.bbc.co.uk/news/business-59132692?at_medium=RSS&at_campaign=KARANGA
Top Stories,2021-12-17 00:47:00,"Burnley's Pastor Mick: ‘If I lock this door, he dies’","Emergency mental health referrals are soaring in East Lancashire - and in Burnley, former drug dealer Pastor Mick is offering a lifeline to those who can't always get the support they need.", ,https://www.bbc.co.uk/news/uk-59651954?at_medium=RSS&at_campaign=KARANGA
Top Stories,2021-12-17 01:11:00,"Omicron: Gig tickets, Covid and Christmas - can I get a refund?",What options do you have if you're thinking twice about going to events in the run-up to Christmas?, ,https://www.bbc.co.uk/news/newsbeat-59685904?at_medium=RSS&at_campaign=KARANGA
Technology,2021-12-17 01:13:00,How Russia tries to censor Western social media,Western social media companies face huge fines as Russia pressures them to remove content it objects to., ,https://www.bbc.co.uk/news/blogs-trending-59687496?at_medium=RSS&at_campaign=KARANGA
Health,2021-12-17 12:13:00,Covid: 'We're not looking forward to doing it all again',St George's Hospital in London is bracing for another wave of Covid in the wake of the Omicron variant., ,https://www.bbc.co.uk/news/health-59667190?at_medium=RSS&at_campaign=KARANGA
Politics,2021-12-17 12:31:00,North Shropshire by-election: How did Tories turn off true blue voters?,Voters say the result sends a message to the PM as Lib Dems end 200 years of Tory control., ,https://www.bbc.co.uk/news/uk-england-shropshire-59694892?at_medium=RSS&at_campaign=KARANGA
Technology,2021-12-17 14:32:00,Nasa probe flies in Sun's atmosphere and other tech news,LJ Rich looks at the best of the week's technology news stories., ,https://www.bbc.co.uk/news/technology-59687876?at_medium=RSS&at_campaign=KARANGA
Education and Family,2021-12-17 14:53:00,'I've got Covid so am self-isolating alone at Christmas',Anyone testing positive now will be self-isolating on 25 December., ,https://www.bbc.co.uk/news/newsbeat-59697385?at_medium=RSS&at_campaign=KARANGA
Business,2021-12-17 17:39:00,Will Omicron stall the airline sector recovery in 2022?,The rise of a new variant risks delaying a long hoped for bounce back for global aviation., ,https://www.bbc.co.uk/news/business-59654176?at_medium=RSS&at_campaign=KARANGA
Education and Family,2021-12-18 00:03:00,Omicron: 'I took two Covid tests a day at university for my grandma's sake',Students say the new Omicron variant is making them extra-cautious as they go home for Christmas., ,https://www.bbc.co.uk/news/education-59702157?at_medium=RSS&at_campaign=KARANGA
Education and Family,2021-12-18 11:33:00,Plymouth student first aid team helping with 999 burden,"The Plymouth Night Patrol is acting as a ""buffer"" between the public and the emergency services.", ,https://www.bbc.co.uk/news/uk-england-devon-59703651?at_medium=RSS&at_campaign=KARANGA
Technology,2021-12-20 00:00:00,The robot chefs that can cook your Christmas dinner,If you fancy not having to do the cooking on 25 December then a robotic chef might be the solution., ,https://www.bbc.co.uk/news/business-59651334?at_medium=RSS&at_campaign=KARANGA
Business,2021-12-20 00:08:00,Evergrande: China's efforts to contain its Lehman moment,China is handling the crisis very differently to the way the US dealt with the Lehman collapse., ,https://www.bbc.co.uk/news/business-59605130?at_medium=RSS&at_campaign=KARANGA
Technology,2021-12-20 00:13:00,How to read your weather app,What you need to know about weather forecasts on your phone, ,https://www.bbc.co.uk/news/59638765?at_medium=RSS&at_campaign=KARANGA
Technology,2021-12-20 00:16:00,What is the metaverse?,"From virtual versions of ourselves to augmented reality, we break down what the metaverse is.", ,https://www.bbc.co.uk/news/technology-59674930?at_medium=RSS&at_campaign=KARANGA
Technology,2021-12-20 00:17:00,Virtual reality worship: What carols at home looks like this Christmas,The Church of England has released a series of virtual reality carols, ,https://www.bbc.co.uk/news/uk-59702426?at_medium=RSS&at_campaign=KARANGA
Politics,2021-12-20 00:21:00,Demands to delay rises in the state pension age,"As the government sets up a review, a report suggests there is no justification to change it from 66.", ,https://www.bbc.co.uk/news/business-59698732?at_medium=RSS&at_campaign=KARANGA
Science and Environment,2021-12-20 00:59:00,The world's first octopus farm - should it go ahead?,The world’s first commercial octopus farm is closer to becoming reality - but scientists are up in arms., ,https://www.bbc.co.uk/news/science-environment-59667645?at_medium=RSS&at_campaign=KARANGA
Education and Family,2021-12-20 12:04:00,Scottish union calls for school reopening delay,A union says staffing issues are likely to get worse due to the spread of the Omicron variant., ,https://www.bbc.co.uk/news/uk-scotland-59720081?at_medium=RSS&at_campaign=KARANGA
Politics,2021-12-20 13:34:00,Laura Kuenssberg to step down as BBC's political editor,"After seven years in the post, the journalist will now take on other roles within the BBC.", ,https://www.bbc.co.uk/news/entertainment-arts-58996925?at_medium=RSS&at_campaign=KARANGA
Politics,2021-12-20 15:56:00,Lord Frost: I didn't support PM's coercive Covid plan,"The former Brexit minister insists his resignation was about policy, not Boris Johnson's leadership.", ,https://www.bbc.co.uk/news/uk-politics-59726067?at_medium=RSS&at_campaign=KARANGA
Politics,2021-12-20 16:20:00,"Rachel Riley wins £10,000 damages over Nazi tweet",The Countdown star sued an ex-aide of Jeremy Corbyn over comments made on Twitter in 2019., ,https://www.bbc.co.uk/news/entertainment-arts-59731932?at_medium=RSS&at_campaign=KARANGA
Politics,2021-12-20 17:58:00,"Downing Street garden photo shows people working, says Boris Johnson","The PM defends the image showing him, his wife and 17 staff with wine in the No 10 garden during lockdown.", ,https://www.bbc.co.uk/news/uk-politics-59722081?at_medium=RSS&at_campaign=KARANGA
Politics,2021-12-20 18:02:00,Welsh budget: Bumper funding rise for Welsh NHS amid backlog,Welsh NHS cash to be hiked by almost £900m next year to tackle waiting lists caused by Covid., ,https://www.bbc.co.uk/news/uk-wales-politics-59720795?at_medium=RSS&at_campaign=KARANGA
Education and Family,2021-12-20 20:01:00,Teacher sacked after horse kick video shared,"It follows an investigation into the footage, which has been viewed by millions of people online.", ,https://www.bbc.co.uk/news/uk-england-leicestershire-59728476?at_medium=RSS&at_campaign=KARANGA
Health,2021-12-20 22:44:00,Covid: An event cancelled is better than a life cancelled - WHO chief,"The head of the World Health Organization calls for ""difficult decisions"" to be made over festive plans.", ,https://www.bbc.co.uk/news/world-59735243?at_medium=RSS&at_campaign=KARANGA
