Feed,Publish_DT,Title,Summary,Author,Link
Climate,2021-12-08 10:00:00,The Achilles’ Heel of Biden’s Climate Plan? Coal Miners.,"Unions representing other workers affected by climate legislation have struck deals, but opposition from coal miners has persisted, complicating the path to enactment.", ,https://www.nytimes.com/2021/12/08/business/economy/coal-miners-unions-climate.html
Climate,2021-12-08 19:34:00,The Climate Bill Includes Billions in Funding. Will It Be Spent Fairly?,"The infrastructure measure funds programs that tend to favor wealthy, white communities.", ,https://www.nytimes.com/2021/12/08/climate/climate-justice-nyt-newsletter.html
Climate,2021-12-08 23:45:00,"After Warm Start to Snow Season, Colorado Resorts Look for Relief",Record high temperatures have left mountain resorts across the state reliant on artificial snow. Winter storms predicted for this week could change that., ,https://www.nytimes.com/2021/12/08/us/colorado-winter-weather-snow.html
Climate,2021-12-10 11:34:00,Earth Is Getting a 'Black Box' Because of Climate Change,"When a plane crashes, its flight recorder is critical to piecing together the missteps that led to calamity. Now the planet is getting its own in case it self-destructs.", ,https://www.nytimes.com/2021/12/09/world/australia/earth-black-box-climate-change.html
Climate,2021-12-10 14:00:00,"Ryan Gellert, Patagonia's C.E.O., Has a Mission: 'Save Our Home Planet'",Ryan Gellert is worried about the world his children will inherit and is trying to use business to combat climate change., ,https://www.nytimes.com/2021/12/10/business/ryan-gellert-patagonia-corner-office.html
Climate,2021-12-10 14:59:00,Edelman Criticized for Work With Oil Companies,"Edelman has worked for Exxon Mobil and Shell while making strong public statements in favor of environmental sustainability. At a recent companywide meeting, employees had some sharp questions.", ,https://www.nytimes.com/2021/12/10/business/media/a-p-r-giant-is-caught-between-climate-pledges-and-fossil-fuel-clients.html
Science,2021-12-11 10:00:00,Hydra DNA Reveals There’s More Than One Way to Regrow a Head,Researchers pinpointed the genetic machinery behind some of these tiny creatures’ amazing powers of regeneration., ,https://www.nytimes.com/2021/12/11/science/hydra-regrow-head.html
Climate,2021-12-11 10:00:00,"First Fires, Then Floods: Climate Extremes Batter Australia",Many of the same areas that suffered through horrific bush fires in 2019 and 2020 are now dealing with prodigious rainfall that could leave some people stranded for weeks., ,https://www.nytimes.com/2021/12/11/world/australia/flooding-fire-climate-australia.html
Climate,2021-12-13 00:54:00,'Don't Look Up' Nails the Media Apocalypse,"With “Don’t Look Up,” Adam McKay makes a star-studded allegorical satire that shows the news media whistling past the climate-change graveyard.", ,https://www.nytimes.com/2021/12/12/business/media/dont-look-up-news-media.html
Most Viewed,2021-12-13 01:52:00,Chris Wallace Leaves Fox News as Right-Wing Hosts Hold Sway,"The “Fox News Sunday” anchor had been with the network for 18 years, and often dissented from the views of his pro-Trump colleagues.", ,https://www.nytimes.com/2021/12/12/business/media/chris-wallace-fox-news.html
Most Viewed,2021-12-13 04:09:00,Peloton Responds to 'And Just Like That' Appearance,"A Peloton stationary bike played a pivotal role on the new HBO Max “Sex and the City” revival, whose premiere preceded a drop in the company’s stock price on Friday.", ,https://www.nytimes.com/2021/12/11/arts/television/peloton-sex-and-the-city.html
Most Viewed,2021-12-13 05:21:00,"Her Instagram Handle Was ‘Metaverse.’ Last Month, It Vanished.","Five days after Facebook changed its name to Meta, an Australian artist found herself blocked, with seemingly no recourse, from an account documenting nearly a decade of her life and work.", ,https://www.nytimes.com/2021/12/13/technology/instagram-handle-metaverse.html
Real Estate,2021-12-13 14:00:00,"What $2.8 Million Buys You in Carmel, Los Angeles and Sunnyvale","A storybook cottage in Carmel, a renovated 1936 house in Los Angeles and an updated midcentury home in Sunnyvale.", ,https://www.nytimes.com/2021/12/13/realestate/home-prices-california.html
Climate,2021-12-13 14:44:00,Looking for a Way to Soup Up Your Car? Go Electric.,"It may not be cheap, but swapping the combustion engine in your car for an electric one is getting easier.", ,https://www.nytimes.com/2021/12/13/business/car-electric-engine-retrofitting.html
Climate,2021-12-13 14:49:00,Do You Know Where Your Sweater Came From?,Loro Piana makes some of the world’s most luxurious cashmere. Now you can trace every step of its journey from Mongolia to Madison Avenue., ,https://www.nytimes.com/2021/12/12/style/loro-piana-baby-cashmere-traceability.html
Economy,2021-12-13 15:14:00,New York Food Banks Expand to Meet Demand for Aid in the Pandemic,The city’s aid organizations are facing labor shortages and supply chain disruptions in their effort to help the 1.5 million New Yorkers who cannot afford food., ,https://www.nytimes.com/2021/12/13/business/economy/new-york-food-banks-pandemic.html
Most Viewed,2021-12-13 15:16:00,We’re Edging Closer to Civil War,I see too many uneasy parallels between what was happening nearly 200 years ago and what is happening now over abortion., ,https://www.nytimes.com/2021/12/12/opinion/abortion-rights-america.html
Climate,2021-12-13 17:41:00,Biden Orders Federal Vehicles and Buildings to Use Renewable Energy by 2050,"Under an executive order, the federal government would phase out the purchase of gasoline-powered vehicles, and its buildings would be powered by wind, solar or other clean energy.", ,https://www.nytimes.com/2021/12/08/climate/biden-government-carbon-neutral.html
Climate,2021-12-13 21:51:00,Russia Blocks U.N. Move to Treat Climate as Security Threat,The Russian veto of a widely supported Security Council resolution pointed to the difficulty of achieving a unified response to global warming., ,https://www.nytimes.com/2021/12/13/world/americas/un-climate-change-russia.html
Homepage USA,2021-12-13 22:11:00,The 10 Best Podcasts of 2021,"Shows about Chippendales, a notorious Hollywood bomb, the search for the perfect pasta shape and the immediate aftermath of 9/11 are among those worthy of your attention.", ,https://www.nytimes.com/2021/12/01/arts/best-podcasts.html
