Feed,Publish_DT,Title,Summary,Author,Link
Science,2021-12-09 09:26:00,Chinese sighting of 'cube' on moon rouses speculation, , ,https://timesofindia.indiatimes.com/world/china/chinese-sighting-of-cube-on-moon-rouses-speculation-inspires-memes/articleshow/88177926.cms
Auto,2021-12-09 16:32:00,"Hero Electric reports retail sales of over 7,000 units in November", , ,https://timesofindia.indiatimes.com/auto/bikes/hero-electric-reports-retail-sales-of-over-7000-units-in-november/articleshow/88186879.cms
Auto,2021-12-10 08:28:00,Volkswagen cranks up electric car investment, , ,https://timesofindia.indiatimes.com/auto/news/volkswagen-cranks-up-electric-car-investment/articleshow/88197911.cms
NRI,2021-12-10 12:13:00,Indian-origin professor is 1st woman & person of colour to be president of Penn State University, , ,https://timesofindia.indiatimes.com/nri/us-canada-news/indian-origin-professor-is-1st-woman-person-of-colour-to-be-president-of-penn-state-university/articleshow/88202015.cms
Auto,2021-12-10 12:15:00,Ducati launches the new DesertX motorcycle, , ,https://timesofindia.indiatimes.com/auto/bikes/ducati-launches-the-new-desertx-motorcycle/articleshow/88202090.cms
Science,2021-12-11 12:34:00,Nasal vaccine might help fight new Covid-19 variants: Study, , ,https://timesofindia.indiatimes.com/home/science/nasal-vaccine-might-help-fight-new-covid-19-variants-study/articleshow/88221274.cms
Auto,2021-12-13 09:03:00,"MG Motor India exploring export opportunities in UK, South Africa", , ,https://timesofindia.indiatimes.com/auto/news/mg-motor-india-exploring-export-opportunities-in-uk-south-africa/articleshow/88248331.cms
Auto,2021-12-13 20:23:00,Skoda commences production of new version of SUV Kodiaq, , ,https://timesofindia.indiatimes.com/auto/cars/skoda-commences-production-of-new-version-of-suv-kodiaq/articleshow/88261495.cms
Auto,2021-12-14 08:09:00,"BMW launches iX electric SUV in India, priced at Rs 1.16 crore", , ,https://timesofindia.indiatimes.com/auto/cars/bmw-launches-ix-electric-suv-in-india-priced-at-rs-1-16-crore/articleshow/88267772.cms
Science,2021-12-14 21:43:00,RNA-based breath test developed by scientists to detect Covid-19, , ,https://timesofindia.indiatimes.com/world/us/rna-based-breath-test-developed-by-scientists-to-detect-covid-19/articleshow/88283538.cms
Auto,2021-12-14 22:35:00,"Tesla to accept dogecoin as payment for merchandise, says Musk", , ,https://timesofindia.indiatimes.com/auto/news/tesla-to-accept-dogecoin-as-payment-for-merchandise-says-musk/articleshow/88284189.cms
Science,2021-12-15 07:09:00,"Nasa spacecraft 'touches' sun for 1st time, dives into atmosphere", , ,https://timesofindia.indiatimes.com/home/science/nasa-spacecraft-touches-sun-for-1st-time-dives-into-atmosphere/articleshow/88288694.cms
Auto,2021-12-15 11:19:00,Skoda Auto Volkswagen India MD Gurpratap Boparai resigns, , ,https://timesofindia.indiatimes.com/auto/news/skoda-auto-volkswagen-india-md-gurpratap-boparai-resigns/articleshow/88292665.cms
Auto,2021-12-15 12:25:00,Toyota to hike vehicle prices from January, , ,https://timesofindia.indiatimes.com/auto/news/toyota-to-hike-vehicle-prices-from-january/articleshow/88293990.cms
Science,2021-12-15 15:29:00,Study finds a longer lasting Covid vaccine, , ,https://timesofindia.indiatimes.com/world/us/study-finds-a-longer-lasting-covid-vaccine/articleshow/88297222.cms
Auto,2021-12-15 21:31:00,Tesla now has 7 EV variants approved in India: Report, , ,https://timesofindia.indiatimes.com/auto/news/tesla-now-has-7-ev-variants-approved-in-india-report/articleshow/88304391.cms
Auto,2021-12-16 15:31:00,"Kia India unveils new seven seater RV, Kia Carens", , ,https://timesofindia.indiatimes.com/auto/cars/kia-india-unveils-new-rv-kia-carens/articleshow/88317662.cms
Science,2021-12-16 15:36:00,Moderna vaccine ‘highly effective' against coronavirus variants: Study, , ,https://timesofindia.indiatimes.com/home/science/moderna-vaccine-highly-effective-against-coronavirus-variants-study/articleshow/88318141.cms
Science,2021-12-16 17:16:00,Most effective face-mask practices to reduce spread of Covid-19: Study, , ,https://timesofindia.indiatimes.com/world/us/most-effective-face-mask-practices-to-reduce-spread-of-infection-of-covid-19-study/articleshow/88320356.cms
Science,2021-12-17 16:09:00,Breakthrough infections generate strong immunity to Covid-19 variants: Study, , ,https://timesofindia.indiatimes.com/home/science/breakthrough-infections-generate-strong-immunity-to-covid-19-variants-study/articleshow/88340035.cms
NRI,2021-12-18 09:43:00,"Indian-origin couple jailed for abusing maid, obstructing justice in Singapore", , ,https://timesofindia.indiatimes.com/nri/other-news/indian-origin-couple-jailed-for-abusing-maid-obstructing-justice-in-singapore/articleshow/88352331.cms
NRI,2021-12-18 13:56:00,Ravi Chaudhary’s nomination sent to US Senate, , ,https://timesofindia.indiatimes.com/nri/us-canada-news/ravi-chaudharys-nomination-sent-to-us-senate/articleshow/88355947.cms
Life And Style,2021-12-21 08:00:00,How brides can get that natural glow, , ,https://timesofindia.indiatimes.com/life-style/beauty/bridal-skincare-for-glowing-skin-how-brides-can-get-that-natural-glow/articleshow/88387687.cms
Life And Style,2021-12-21 14:00:00,"If vaccines don't work against Omicron, what should we do?", , ,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-if-covid-19-vaccines-fail-to-prevent-an-omicron-infection-what-should-we-do-to-stay-safe/photostory/88407963.cms
Life And Style,2021-12-21 15:42:00,Net worth of Kartik Aaryan, , ,https://timesofindia.indiatimes.com/life-style/spotlight/web-stories/wow-the-net-worth-of-kartik-aaryan-is-more-than-his-age/photostory/88410841.cms
Life And Style,2021-12-21 16:34:00,Ginger-Cinnamon milk is good in winters, , ,https://timesofindia.indiatimes.com/life-style/food-news/ginger-cinnamon-milk-how-a-glass-of-it-is-the-prescription-for-good-health-in-winters/photostory/88411847.cms
Life And Style,2021-12-21 18:00:00,Smriti Irani on her debut novel & more, , ,https://timesofindia.indiatimes.com/life-style/books/web-stories/7-things-smriti-irani-revealed-about-her-debut-novel-and-writing-journey/photostory/88409064.cms
Life And Style,2021-12-21 18:00:00,Ways to attract the RIGHT ONE in your life, , ,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/ways-to-attract-the-right-one-in-your-life/photostory/88340761.cms
Life And Style,2021-12-21 19:00:00,5 tips to develop your child's personality, , ,https://timesofindia.indiatimes.com/life-style/parenting/toddler-year-and-beyond/five-tips-to-develop-your-childs-personality/photostory/88411361.cms
Auto,2021-12-22 00:08:00,"MG Motor India sees 'Fluidic' trends in 2022, to focus on EV", , ,https://timesofindia.indiatimes.com/auto/news/cautious-optimism-mg-motor-india-sees-fluidic-trends-in-2022-to-focus-on-ev/articleshow/88419620.cms
Auto,2021-12-22 00:39:00,EV start-up Nikola settles with US for $125 million, , ,https://timesofindia.indiatimes.com/auto/news/ev-start-up-nikola-settles-with-us-for-125-million/articleshow/88419902.cms
Life And Style,2021-12-22 05:00:00,Parenting lessons from Bollywood movies, , ,https://timesofindia.indiatimes.com/life-style/parenting/web-stories/parenting-lessons-we-can-learn-from-bollywood-movies/photostory/88416522.cms
Life And Style,2021-12-22 11:00:00,Omicron: How long should you wait before getting tested?, , ,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/coronavirus-if-you-experience-omicron-symptoms-how-long-should-you-wait-before-getting-tested/photostory/88412529.cms
Auto,2021-12-22 12:41:00,"Royal Enfield recalls 26,300 Classic 350 bikes to fix faulty brake part", , ,https://timesofindia.indiatimes.com/auto/news/royal-enfield-recalls-26300-classic-350-bikes-to-fix-faulty-brake-part/articleshow/88419800.cms
Life And Style,2021-12-22 13:15:00,Beauty secrets of Rashmika Mandanna, , ,https://timesofindia.indiatimes.com/life-style/beauty/web-stories/beauty-secrets-of-pushpa-the-rise-actress-rashmika-mandanna/photostory/88428299.cms
